"Date","Facebook Page","Followers","Net Follower Growth","Published Posts","Views","Organic Views","Paid Views","Reach","Organic Reach","Paid Reach","Engagements","Reactions","Comments","Shares","Post Link Clicks","Other Post Clicks","Page Actions","Engagement Rate (per View)","Video Views","Full Video Views","Partial Video Views","Organic Video Views","Organic Full Video Views","Organic Partial Video Views","Paid Video Views","Paid Full Video Views","Paid Partial Video Views","Click to Play Video Views","Autoplay Video Views"
"03-04-2023","The Chicago Public Education Fund","2,243","0","0","27","27","0","6","","0","2","0","0","0","1","1","0","7.41%","1","1","0","1","1","0","0","0","0","0","1"
"03-05-2023","The Chicago Public Education Fund","2,243","0","0","6","5","0","6","","0","2","0","0","0","0","2","0","33.33%","3","1","2","3","1","2","0","0","0","0","3"
"03-06-2023","The Chicago Public Education Fund","2,243","0","0","9","9","0","9","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"03-07-2023","The Chicago Public Education Fund","2,244","1","0","12","12","0","9","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"03-08-2023","The Chicago Public Education Fund","2,244","0","0","6","6","0","6","","0","4","0","0","0","0","4","0","66.67%","3","1","2","3","1","2","0","0","0","1","2"
"03-09-2023","The Chicago Public Education Fund","2,244","0","0","9","9","0","8","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"03-10-2023","The Chicago Public Education Fund","2,244","0","2","381","374","0","295","","0","50","9","0","1","1","39","0","13.12%","0","0","0","0","0","0","0","0","0","0","0"
"03-11-2023","The Chicago Public Education Fund","2,245","1","0","261","259","0","242","","0","62","14","4","1","12","31","0","23.75%","1","0","1","1","0","1","0","0","0","0","1"
"03-12-2023","The Chicago Public Education Fund","2,245","0","0","67","67","0","46","","0","6","2","0","0","2","2","0","8.96%","2","1","1","2","1","1","0","0","0","0","2"
"03-13-2023","The Chicago Public Education Fund","2,245","0","1","107","101","0","51","","0","12","1","0","0","0","11","0","11.21%","1","0","1","1","0","1","0","0","0","0","1"
"03-14-2023","The Chicago Public Education Fund","2,245","0","0","43","43","0","40","","0","3","2","0","0","1","0","0","6.98%","1","1","0","1","1","0","0","0","0","0","1"
"03-15-2023","The Chicago Public Education Fund","2,245","0","1","73","65","0","44","","0","4","0","0","0","1","3","0","5.48%","0","0","0","0","0","0","0","0","0","0","0"
"03-16-2023","The Chicago Public Education Fund","2,245","0","0","35","34","0","20","","0","3","0","0","0","0","3","0","8.57%","2","2","0","2","2","0","0","0","0","0","2"
"03-17-2023","The Chicago Public Education Fund","2,246","1","1","98","94","0","88","","0","9","3","0","0","4","2","0","9.18%","2","0","2","2","0","2","0","0","0","0","2"
"03-18-2023","The Chicago Public Education Fund","2,246","0","0","30","30","0","30","","0","6","2","0","0","1","3","0","20%","0","0","0","0","0","0","0","0","0","0","0"
"03-19-2023","The Chicago Public Education Fund","2,246","0","0","22","22","0","16","","0","2","0","0","0","0","2","0","9.09%","4","0","4","4","0","4","0","0","0","2","2"
"03-20-2023","The Chicago Public Education Fund","2,246","0","0","29","25","0","18","","0","1","1","0","0","0","0","0","3.45%","1","0","1","1","0","1","0","0","0","0","1"
"03-21-2023","The Chicago Public Education Fund","2,246","0","0","14","13","0","10","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"03-22-2023","The Chicago Public Education Fund","2,246","0","0","16","14","0","10","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"03-23-2023","The Chicago Public Education Fund","2,246","0","0","69","65","0","7","","0","5","0","0","0","0","5","0","7.25%","2","0","2","2","0","2","0","0","0","0","2"
"03-24-2023","The Chicago Public Education Fund","2,246","0","1","56","52","0","44","","0","9","3","1","0","1","4","0","16.07%","0","0","0","0","0","0","0","0","0","0","0"
"03-25-2023","The Chicago Public Education Fund","2,246","0","0","38","37","0","32","","0","9","1","0","0","3","5","0","23.68%","3","2","1","3","2","1","0","0","0","0","3"
"03-26-2023","The Chicago Public Education Fund","2,246","0","0","21","21","0","21","","0","7","2","2","1","1","1","0","33.33%","0","0","0","0","0","0","0","0","0","0","0"
"03-27-2023","The Chicago Public Education Fund","2,246","0","0","32","32","0","31","","0","15","4","0","0","4","7","0","46.88%","1","0","1","1","0","1","0","0","0","0","1"
"03-28-2023","The Chicago Public Education Fund","2,246","0","0","66","66","0","65","","0","17","7","1","1","3","5","0","25.76%","1","1","0","1","1","0","0","0","0","0","1"
"03-29-2023","The Chicago Public Education Fund","2,246","0","0","33","30","0","22","","0","8","2","0","0","3","3","0","24.24%","1","0","1","1","0","1","0","0","0","0","1"
"03-30-2023","The Chicago Public Education Fund","2,248","2","0","29","29","0","24","","0","6","1","0","0","1","4","0","20.69%","0","0","0","0","0","0","0","0","0","0","0"
"03-31-2023","The Chicago Public Education Fund","2,248","0","0","26","26","0","18","","0","3","1","0","0","1","1","0","11.54%","1","0","1","1","0","1","0","0","0","0","1"
"04-01-2023","The Chicago Public Education Fund","2,248","0","0","15","15","0","6","","0","3","0","0","0","0","3","0","20%","0","0","0","0","0","0","0","0","0","0","0"
"04-02-2023","The Chicago Public Education Fund","2,248","0","0","14","14","0","12","","0","4","1","0","0","0","3","0","28.57%","4","2","2","4","2","2","0","0","0","2","2"
"04-03-2023","The Chicago Public Education Fund","2,248","0","0","15","15","0","12","","0","5","2","0","0","0","3","0","33.33%","4","3","1","4","3","1","0","0","0","0","4"
"04-04-2023","The Chicago Public Education Fund","2,248","0","1","184","179","0","141","","0","11","3","0","0","1","7","0","5.98%","5","1","4","5","1","4","0","0","0","0","5"
"04-05-2023","The Chicago Public Education Fund","2,248","0","1","204","202","0","133","","0","9","1","0","0","0","8","0","4.41%","2","0","2","2","0","2","0","0","0","0","2"
"04-06-2023","The Chicago Public Education Fund","2,248","0","2","293","291","0","186","","0","12","3","0","0","0","9","0","4.1%","3","2","1","3","2","1","0","0","0","0","3"
"04-07-2023","The Chicago Public Education Fund","2,248","0","1","203","200","0","141","","0","4","1","0","0","0","3","0","1.97%","0","0","0","0","0","0","0","0","0","0","0"
"04-08-2023","The Chicago Public Education Fund","2,248","0","0","44","42","0","41","","0","0","0","0","0","0","0","0","0%","1","1","0","1","1","0","0","0","0","1","0"
"04-09-2023","The Chicago Public Education Fund","2,248","0","0","37","37","0","34","","0","3","0","0","0","0","3","0","8.11%","1","0","1","1","0","1","0","0","0","1","0"
"04-10-2023","The Chicago Public Education Fund","2,248","0","0","34","33","0","24","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"04-11-2023","The Chicago Public Education Fund","2,249","1","0","23","20","0","14","","0","1","0","0","0","0","1","0","4.35%","1","0","1","1","0","1","0","0","0","0","1"
"04-12-2023","The Chicago Public Education Fund","2,249","0","0","9","8","0","6","","0","3","0","0","0","0","3","0","33.33%","2","0","2","2","0","2","0","0","0","0","2"
"04-13-2023","The Chicago Public Education Fund","2,249","0","0","68","67","0","10","","0","2","1","0","0","0","1","0","2.94%","0","0","0","0","0","0","0","0","0","0","0"
