"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-23-2026","Facebook","The Chicago Public Education Fund","2,510","1","","1","1","0","595","7","50","8.4%","17","3","0","0","","30","","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-23-2026","LinkedIn","The Chicago Public Education Fund","5,692","5","5","1","1","4","1,284","7","105","8.18%","53","4","1","47","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","4","0","","",""
"01-24-2026","X","'@TheFundChicago","3,055","-1","0","0","0","0","6","0","1","16.67%","0","0","0","0","","1","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-24-2026","Facebook","The Chicago Public Education Fund","2,510","0","","0","0","0","196","1","4","2.04%","0","0","0","1","","3","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-24-2026","LinkedIn","The Chicago Public Education Fund","5,697","6","6","0","0","1","608","3","46","7.57%","21","1","0","24","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"01-25-2026","X","'@TheFundChicago","3,055","0","0","0","0","0","4","0","0","0%","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-25-2026","Facebook","The Chicago Public Education Fund","2,510","0","","0","0","0","102","5","2","1.96%","1","0","0","0","","1","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-25-2026","LinkedIn","The Chicago Public Education Fund","5,702","5","5","0","0","0","325","1","22","6.77%","8","0","0","14","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-26-2026","X","'@TheFundChicago","3,056","1","1","0","0","0","3","0","0","0%","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-26-2026","Facebook","The Chicago Public Education Fund","2,510","0","","0","0","0","191","2","0","0%","0","0","0","0","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-26-2026","LinkedIn","The Chicago Public Education Fund","5,706","5","5","3","0","0","389","0","28","7.2%","12","3","0","13","","","","","","","","","","","","","","","","0","","","","","0","3","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-27-2026","X","'@TheFundChicago","3,055","-1","0","0","0","3","29","0","1","3.45%","1","0","0","0","","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","1","0","0","2","0","","","","","0","","0","","","","","","","",""
"01-27-2026","Facebook","The Chicago Public Education Fund","2,510","0","","0","0","1","128","4","1","0.78%","1","0","0","0","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","1","0","0","0","","0","","","","","","","",""
"01-27-2026","LinkedIn","The Chicago Public Education Fund","5,711","5","5","0","0","1","254","0","19","7.48%","3","1","0","15","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"01-28-2026","X","'@TheFundChicago","3,055","0","0","3","3","0","1","0","0","0%","0","0","0","0","","0","0","1","0","2","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-28-2026","Facebook","The Chicago Public Education Fund","2,512","0","","1","1","0","195","5","1","0.51%","1","0","0","0","","0","","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-28-2026","LinkedIn","The Chicago Public Education Fund","5,716","2","2","1","1","0","457","4","29","6.35%","11","0","0","18","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-29-2026","X","'@TheFundChicago","3,055","0","0","0","0","1","4","1","0","0%","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","1","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-29-2026","Facebook","The Chicago Public Education Fund","2,512","0","","1","1","0","142","5","2","1.41%","1","0","0","0","","1","","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-29-2026","LinkedIn","The Chicago Public Education Fund","5,716","5","5","1","1","0","713","7","48","6.73%","15","0","3","30","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
